10000	19.592520	19.592520
20000	19.624876	19.608698
30000	19.607195	19.608197
40000	19.598676	19.605817
50000	19.622189	19.609091
60000	19.619691	19.610858
70000	19.613690	19.611263
80000	19.615034	19.611734
90000	19.597242	19.610124
100000	19.581281	19.607240
110000	19.598968	19.606488
120000	19.613917	19.607107
130000	19.619588	19.608067
140000	19.623898	19.609198
150000	19.610902	19.609311
160000	19.591944	19.608226
170000	19.612044	19.608450
180000	19.621032	19.609149
190000	19.621761	19.609813
200000	19.599505	19.609298
210000	19.600325	19.608870
220000	19.617136	19.609246
230000	19.593204	19.608549
240000	19.619367	19.608999
250000	19.595385	19.608455
260000	19.600118	19.608134
270000	19.609420	19.608182
280000	19.618367	19.608546
290000	19.600044	19.608252
300000	19.597552	19.607896
310000	19.593499	19.607431
320000	19.611530	19.607559
330000	19.615119	19.607788
340000	19.603403	19.607659
350000	19.604816	19.607578
360000	19.615445	19.607797
370000	19.595689	19.607470
380000	19.615613	19.607684
390000	19.600353	19.607496
400000	19.623213	19.607889
410000	19.595749	19.607593
420000	19.591317	19.607205
430000	19.624350	19.607604
440000	19.621882	19.607928
450000	19.585433	19.607429
460000	19.613350	19.607557
470000	19.621891	19.607862
480000	19.599699	19.607692
490000	19.613802	19.607817
500000	19.610000	19.607860
510000	19.619738	19.608093
520000	19.609393	19.608118
530000	19.598324	19.607934
540000	19.594435	19.607684
550000	19.609302	19.607713
560000	19.601527	19.607603
570000	19.621632	19.607849
580000	19.586774	19.607485
590000	19.619255	19.607685
600000	19.607394	19.607680
610000	19.606304	19.607657
620000	19.588999	19.607356
630000	19.626184	19.607655
640000	19.600278	19.607540
650000	19.593117	19.607318
660000	19.616854	19.607463
670000	19.618911	19.607634
680000	19.606365	19.607615
690000	19.611509	19.607671
700000	19.607685	19.607672
710000	19.633053	19.608029
720000	19.623533	19.608244
730000	19.611611	19.608290
740000	19.597482	19.608144
750000	19.617420	19.608268
760000	19.638464	19.608665
770000	19.618591	19.608794
780000	19.607559	19.608778
790000	19.594495	19.608598
800000	19.612279	19.608644
810000	19.622723	19.608817
820000	19.615449	19.608898
830000	19.612337	19.608940
840000	19.596400	19.608790
850000	19.601859	19.608709
860000	19.603784	19.608652
870000	19.596101	19.608507
880000	19.618224	19.608618
890000	19.613677	19.608675
900000	19.620901	19.608811
910000	19.604703	19.608765
920000	19.607187	19.608748
930000	19.604629	19.608704
940000	19.593645	19.608544
950000	19.599626	19.608450
960000	19.631922	19.608694
970000	19.615506	19.608765
980000	19.593647	19.608610
990000	19.616422	19.608689
1000000	19.601180	19.608614
