1	0.259236
2	0.366792
3	0.449401
4	0.519223
5	0.580790
6	0.636412
7	0.687706
8	0.735706
9	0.780627
10	0.823326
11	0.863727
12	0.902617
13	0.939901
14	0.975813
15	1.010545
16	1.044208
17	1.076922
18	1.108508
19	1.139480
20	1.169888
21	1.198994
22	1.227793
23	1.255991
24	1.283930
25	1.310835
26	1.337418
27	1.363519
28	1.389339
29	1.414605
30	1.439220
31	1.463759
32	1.487133
33	1.511410
34	1.534775
35	1.558226
36	1.581239
37	1.602842
38	1.625747
39	1.648375
40	1.669369
41	1.691446
42	1.714166
43	1.733047
44	1.755800
45	1.774686
46	1.797141
47	1.815050
48	1.838473
49	1.856351
50	1.875305
51	1.896455
52	1.913867
53	1.936426
54	1.953903
55	1.971240
56	1.993893
57	2.011071
58	2.027825
59	2.050431
60	2.067970
61	2.084678
62	2.102322
63	2.124450
64	2.138481
65	2.151789
66	2.167471
67	2.190841
68	2.208166
69	2.224251
70	2.238847
71	2.254153
72	2.276681
73	2.292981
74	2.308140
75	2.321533
76	2.336902
77	2.357594
78	2.376135
79	2.391830
80	2.407025
81	2.420923
82	2.435129
83	2.449162
84	2.469672
85	2.487144
86	2.502490
87	2.516326
88	2.529616
89	2.541952
90	2.554861
91	2.568549
92	2.586817
93	2.604680
94	2.621084
95	2.636680
96	2.652350
97	2.667271
98	2.681900
99	2.696254
100	2.711001
101	2.727447
102	2.744955
103	2.761913
104	2.776937
105	2.789983
106	2.802577
107	2.815497
108	2.827168
109	2.840101
110	2.852933
111	2.866584
112	2.878441
113	2.896896
114	2.914440
115	2.932796
116	2.949507
117	2.964128
118	2.977092
119	2.989755
120	3.002623
121	3.015079
122	3.026544
123	3.039644
124	3.051896
125	3.064670
126	3.069623
127	3.085068
128	3.101469
129	3.117426
130	3.132376
131	3.147973
132	3.164181
133	3.179413
134	3.193651
135	3.206553
136	3.218688
137	3.230267
138	3.241073
139	3.250635
140	3.261558
141	3.272324
142	3.283623
143	3.283465
144	3.297205
145	3.310757
146	3.325063
147	3.339379
148	3.355012
149	3.371828
150	3.388138
151	3.403623
152	3.418966
153	3.435253
154	3.451379
155	3.466141
156	3.479571
157	3.491341
158	3.503010
159	3.514110
160	3.525728
161	3.536949
162	3.546626
163	3.556928
164	3.567286
165	3.576800
166	3.586806
167	3.579067
168	3.592737
169	3.605603
170	3.618153
171	3.630296
172	3.641593
173	3.652499
174	3.662879
175	3.673749
176	3.684016
177	3.695344
178	3.708209
179	3.721064
180	3.734102
181	3.746529
182	3.758978
183	3.771933
184	3.785217
185	3.798371
186	3.810907
187	3.822925
188	3.834439
189	3.845584
190	3.856612
191	3.867473
192	3.878979
193	3.890233
194	3.900564
195	3.910934
196	3.922588
197	3.934501
198	3.946427
199	3.958991
200	3.971920
