301	-86.158016	-86.158016	0.000000
302	-86.215191	-86.186603	6.083551
303	-86.224688	-86.199298	4.309710
304	-86.310709	-86.227151	3.525539
305	-86.381527	-86.258026	3.050715
306	-86.372324	-86.277076	2.729180
307	-86.398552	-86.294430	2.487830
308	-86.414509	-86.309440	2.300232
309	-86.376828	-86.316927	2.148773
310	-86.400974	-86.325332	2.025359
311	-86.469066	-86.338399	1.923085
312	-86.457092	-86.348290	1.835992
313	-86.521000	-86.361575	1.760477
314	-86.520374	-86.372918	1.692730
315	-86.575649	-86.386433	1.631622
316	-86.449128	-86.390352	1.578657
317	-86.364626	-86.388838	1.530277
318	-86.264111	-86.381909	1.486157
319	-86.215711	-86.373162	1.446206
320	-86.315287	-86.370268	1.410679
321	-86.391574	-86.371283	1.378344
322	-86.477608	-86.376116	1.349069
323	-86.470391	-86.380215	1.321683
324	-86.533121	-86.386586	1.294887
325	-86.538216	-86.392651	1.269262
326	-86.663643	-86.403074	1.245671
327	-86.618936	-86.411069	1.223087
328	-86.494967	-86.414065	1.201403
329	-86.579601	-86.419773	1.181387
330	-86.721483	-86.429830	1.162736
331	-86.856193	-86.443584	1.145502
332	-86.908586	-86.458115	1.129394
333	-86.854745	-86.470134	1.114923
334	-87.140922	-86.489863	1.101179
335	-87.164350	-86.509134	1.086061
336	-87.172363	-86.527557	1.071621
337	-87.101840	-86.543078	1.058617
338	-87.157535	-86.559248	1.046324
339	-87.194515	-86.575537	1.034226
340	-87.440407	-86.597159	1.022409
341	-87.404075	-86.616840	1.011023
342	-87.445431	-86.636568	0.999454
343	-87.679307	-86.660818	0.988314
344	-87.907474	-86.689151	0.977132
345	-87.940342	-86.716955	0.967034
346	-88.055000	-86.746043	0.957974
347	-88.233126	-86.777683	0.949328
348	-88.241722	-86.808184	0.941586
349	-88.328887	-86.839219	0.933439
350	-88.531189	-86.873058	0.925765
351	-88.454224	-86.904061	0.917049
352	-88.752220	-86.939603	0.908317
353	-89.001187	-86.978501	0.900485
354	-89.155967	-87.018824	0.892752
355	-89.226399	-87.058962	0.884578
356	-89.366240	-87.100163	0.876791
357	-89.334879	-87.139369	0.869585
358	-89.534204	-87.180659	0.862334
359	-89.729387	-87.223858	0.855455
360	-89.838178	-87.267430	0.848931
361	-90.083148	-87.313589	0.842447
362	-90.198121	-87.360114	0.835787
363	-90.266830	-87.406252	0.829220
364	-90.506818	-87.454699	0.823100
365	-90.674314	-87.504231	0.817293
366	-90.713299	-87.552853	0.811542
367	-90.957055	-87.603662	0.806101
368	-91.075570	-87.654720	0.800812
369	-91.085169	-87.704437	0.795620
370	-91.068714	-87.752498	0.790503
371	-91.071508	-87.799244	0.785302
372	-91.055208	-87.844466	0.780185
373	-91.012450	-87.887863	0.775237
374	-91.003536	-87.929967	0.770380
375	-90.992956	-87.970807	0.765639
376	-91.026548	-88.011014	0.761008
377	-91.004725	-88.049893	0.756392
378	-91.044074	-88.088280	0.751921
379	-91.049613	-88.125765	0.747505
380	-91.049613	-88.162313	0.743142
381	-91.049613	-88.197959	0.738832
382	-91.049613	-88.232735	0.734576
383	-91.049613	-88.266674	0.730372
384	-91.049613	-88.299804	0.726221
385	-91.049613	-88.332154	0.722121
386	-91.049613	-88.363753	0.718074
387	-91.049613	-88.394625	0.714078
388	-91.049613	-88.424795	0.710134
389	-91.049613	-88.454287	0.706239
390	-91.049613	-88.483124	0.702394
391	-91.049613	-88.511328	0.698599
